"marker"	"OBO.Ontology.ID"	"species"	"times"	"cell_ID"	"gene_description"	"original_celltype.MSigDB"	"original_celltype.PanglaoDB"	"original_celltype.CellMarker"	"original_celltype.GeneMarkeR"	"original_celltype.Azimuth"	"original_celltype.ASCTB"
"38200"	"neutrophil"	"Human"	1	"CL:0000775"	"argonaute RISC component 4 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"A2M-AS1"	"cytotoxic T cell"	"Human"	1	"CL:0000910"	"A2M antisense RNA 1 "	"CD8 T CELL"	NA	NA	NA	NA	NA
"A4GALT"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"alpha 1,4-galactosyltransferase (P blood group) "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"A4GALT"	"mast cell"	"Human"	1	"CL:0000097"	"alpha 1,4-galactosyltransferase (P blood group) "	NA	"Mast cells"	NA	NA	NA	NA
"AAAS"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"aladin WD repeat nucleoporin "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"AAK1"	"naive T cell"	"Human"	1	"CL:0000898"	"AP2 associated kinase 1 "	"NAIVE T CELL"	NA	NA	NA	NA	NA
"AARS1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"alanyl-tRNA synthetase 1 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"AASDHPPT"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABCA1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ATP binding cassette subfamily A member 1 "	"PUTATIVE EARLY ERYTHROID COMMITMENT"	NA	NA	NA	NA	NA
"ABCA1"	"immature neutrophil"	"Human"	1	"CL:0000776"	"ATP binding cassette subfamily A member 1 "	"IMMATURE NEUTROPHIL"	NA	NA	NA	NA	NA
"ABCA2"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"ATP binding cassette subfamily A member 2 "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"ABCA3"	"platelet"	"Human"	1	"CL:0000233"	"ATP binding cassette subfamily A member 3 "	NA	"Platelets"	NA	NA	NA	NA
"ABCA7"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"ATP binding cassette subfamily A member 7 "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"ABCB1"	"hematopoietic stem cell"	"Human"	1	"CL:0000037"	"ATP binding cassette subfamily B member 1 "	NA	"Hematopoietic stem cells"	NA	NA	NA	NA
"ABCB1"	"natural killer cell"	"Human"	1	"CL:0000623"	"ATP binding cassette subfamily B member 1 "	"NK CELLS"	NA	NA	NA	NA	NA
"ABCB10"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ATP binding cassette subfamily B member 10 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABCB4"	"follicular B cell"	"Human"	1	"CL:0000843"	"ATP binding cassette subfamily B member 4 "	"FOLLICULAR B CELL"	NA	NA	NA	NA	NA
"ABCB9"	"plasma cell"	"Human"	2	"CL:0000786"	"ATP binding cassette subfamily B member 9 "	"PLASMA CELL"	"Plasma cells"	NA	NA	NA	NA
"ABCC3"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"ATP binding cassette subfamily C member 3 "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"ABCC3"	"megakaryocyte progenitor cell"	"Human"	1	"CL:0000553"	"ATP binding cassette subfamily C member 3 "	"PUTATIVE MEGAKARYOCYTE PROGENITOR"	NA	NA	NA	NA	NA
"ABCC3"	"platelet"	"Human"	1	"CL:0000233"	"ATP binding cassette subfamily C member 3 "	"PLATELET"	NA	NA	NA	NA	NA
"ABCC4"	"megakaryocyte progenitor cell"	"Human"	1	"CL:0000553"	"ATP binding cassette subfamily C member 4 "	"PUTATIVE MEGAKARYOCYTE PROGENITOR"	NA	NA	NA	NA	NA
"ABCC4"	"megakaryocyte-erythroid progenitor cell"	"Human"	1	"CL:0000050"	"ATP binding cassette subfamily C member 4 "	"CD34 POS MEP"	NA	NA	NA	NA	NA
"ABCC4"	"platelet"	"Human"	1	"CL:0000233"	"ATP binding cassette subfamily C member 4 "	NA	"Platelets"	NA	NA	NA	NA
"ABCC5"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ATP binding cassette subfamily C member 5 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABCE1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ATP binding cassette subfamily E member 1 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABCF2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ATP binding cassette subfamily F member 2 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABCG2"	"hematopoietic stem cell"	"Human"	1	"CL:0000037"	"ATP binding cassette subfamily G member 2 (Junior blood group) "	NA	"Hematopoietic stem cells"	NA	NA	NA	NA
"ABCG2"	"plasmacytoid dendritic cell"	"Human"	1	"CL:0000784"	"ATP binding cassette subfamily G member 2 (Junior blood group) "	"CD34 POS PRE PC"	NA	NA	NA	NA	NA
"ABHD15"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"abhydrolase domain containing 15 "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"ABHD15"	"precursor B cell"	"Human"	1	"CL:0000817"	"abhydrolase domain containing 15 "	"CD34 POS PRE B"	NA	NA	NA	NA	NA
"ABHD17A"	"natural killer cell"	"Human"	1	"CL:0000623"	"abhydrolase domain containing 17A, depalmitoylase "	"NK CELLS"	NA	NA	NA	NA	NA
"ABHD17B"	"plasmacytoid dendritic cell"	"Human"	1	"CL:0000784"	"abhydrolase domain containing 17B, depalmitoylase "	"CD34 POS PRE PC"	NA	NA	NA	NA	NA
"ABHD3"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"abhydrolase domain containing 3, phospholipase "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"ABHD5"	"neutrophil"	"Human"	1	"CL:0000775"	"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ABI2"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"abl interactor 2 "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"ABI3"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"ABI family member 3 "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"ABI3"	"monocyte"	"Human"	1	"CL:0000576"	"ABI family member 3 "	"MONOCYTE"	NA	NA	NA	NA	NA
"ABLIM1"	"naive T cell"	"Human"	1	"CL:0000898"	"actin binding LIM protein 1 "	"NAIVE T CELL"	NA	NA	NA	NA	NA
"ABLIM3"	"platelet"	"Human"	1	"CL:0000233"	"actin binding LIM protein family member 3 "	"PLATELET"	NA	NA	NA	NA	NA
"ABO"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase "	"EARLY ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABRACL"	"neutrophil"	"Human"	1	"CL:0000775"	"ABRA C-terminal like "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ABTB1"	"neutrophil"	"Human"	1	"CL:0000775"	"ankyrin repeat and BTB domain containing 1 "	NA	NA	NA	"neutrophil"	NA	NA
"ACAA1"	"monocyte"	"Human"	1	"CL:0000576"	"acetyl-CoA acyltransferase 1 "	"MONOCYTE"	NA	NA	NA	NA	NA
"ACAA2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acetyl-CoA acyltransferase 2 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACAD9"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acyl-CoA dehydrogenase family member 9 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACADM"	"pro-B cell"	"Human"	1	"CL:0000826"	"acyl-CoA dehydrogenase medium chain "	"PRO B"	NA	NA	NA	NA	NA
"ACADS"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acyl-CoA dehydrogenase short chain "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACADVL"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acyl-CoA dehydrogenase very long chain "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACAP1"	"naive T cell"	"Human"	1	"CL:0000898"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 "	"NAIVE T CELL"	NA	NA	NA	NA	NA
"ACAP2"	"common lymphoid progenitor"	"Human"	1	"CL:0000051"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 "	"MULTILYMPHOID PROGENITOR"	NA	NA	NA	NA	NA
"ACAT1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acetyl-CoA acetyltransferase 1 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACAT2"	"pro-B cell"	"Human"	1	"CL:0000826"	"acetyl-CoA acetyltransferase 2 "	"PRO B"	NA	NA	NA	NA	NA
"ACE"	"hematopoietic stem cell"	"Human"	1	"CL:0000037"	"angiotensin I converting enzyme "	NA	"Hematopoietic stem cells"	NA	NA	NA	NA
"ACE"	"monocyte"	"Human"	1	"CL:0000576"	"angiotensin I converting enzyme "	NA	"Monocytes"	NA	NA	NA	NA
"ACER3"	"mast cell"	"Human"	1	"CL:0000097"	"alkaline ceramidase 3 "	NA	"Mast cells"	NA	NA	NA	NA
"ACER3"	"neutrophil"	"Human"	1	"CL:0000775"	"alkaline ceramidase 3 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ACHE"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acetylcholinesterase (Cartwright blood group) "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACHE"	"mast cell"	"Human"	1	"CL:0000097"	"acetylcholinesterase (Cartwright blood group) "	NA	"Mast cells"	NA	NA	NA	NA
"ACHE"	"megakaryocyte"	"Human"	1	"CL:0000556"	"acetylcholinesterase (Cartwright blood group) "	NA	"Megakaryocytes"	NA	NA	NA	NA
"ACKR1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"atypical chemokine receptor 1 (Duffy blood group) "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACKR3"	"platelet"	"Human"	1	"CL:0000233"	"atypical chemokine receptor 3 "	NA	"Platelets"	NA	NA	NA	NA
"ACOT13"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acyl-CoA thioesterase 13 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACOT7"	"pro-B cell"	"Human"	1	"CL:0000826"	"acyl-CoA thioesterase 7 "	"PRO B"	NA	NA	NA	NA	NA
"ACOT9"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"acyl-CoA thioesterase 9 "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"ACP1"	"pro-B cell"	"Human"	1	"CL:0000826"	"acid phosphatase 1 "	"PRO B"	NA	NA	NA	NA	NA
"ACP5"	"follicular B cell"	"Human"	1	"CL:0000843"	"acid phosphatase 5, tartrate resistant "	"FOLLICULAR B CELL"	NA	NA	NA	NA	NA
"ACP5"	"monocyte"	"Human"	1	"CL:0000576"	"acid phosphatase 5, tartrate resistant "	NA	"Monocytes"	NA	NA	NA	NA
"ACRBP"	"platelet"	"Human"	1	"CL:0000233"	"acrosin binding protein "	"PLATELET"	NA	NA	NA	NA	NA
"ACSBG1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acyl-CoA synthetase bubblegum family member 1 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
