"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"CCR7"	0	1.19646789120729	0.327	0.135	0	"0"	"CCR7"
"LEF1"	0	1.17780665295624	0.32	0.122	0	"0"	"LEF1"
"SELL"	0	0.998560488871263	0.447	0.275	0	"0"	"SELL"
"TMEM66"	0	0.989531758142962	0.789	0.612	0	"0"	"TMEM66"
"CD27"	0	0.985477545143422	0.544	0.306	0	"0"	"CD27"
"CD3E"	0	0.972173114928117	0.765	0.466	0	"0"	"CD3E"
"PIK3IP1"	0	0.957383966613475	0.359	0.2	0	"0"	"PIK3IP1"
"GIMAP7"	0	0.948246123111945	0.62	0.411	0	"0"	"GIMAP7"
"MAL"	0	0.921488685546769	0.275	0.133	0	"0"	"MAL"
"NOSIP"	0	0.894207848216482	0.641	0.447	0	"0"	"NOSIP"
"LDHB"	0	0.820028349245442	0.86	0.68	0	"0"	"LDHB"
"BTG1"	0	0.777469301069152	0.876	0.765	0	"0"	"BTG1"
"LCK"	0	0.73403237594505	0.489	0.338	0	"0"	"LCK"
"JUNB"	0	0.719486286959297	0.887	0.775	0	"0"	"JUNB"
"PABPC1"	0	0.705542121163407	0.866	0.769	0	"0"	"PABPC1"
"EEF1A1"	0	0.669026071720944	0.997	0.981	0	"0"	"EEF1A1"
"RPL4"	0	0.649050916430138	0.989	0.949	0	"0"	"RPL4"
"DDX5"	0	0.616665678396255	0.809	0.744	0	"0"	"DDX5"
"AES"	0	0.603114243095285	0.622	0.52	0	"0"	"AES"
"GLTSCR2"	0	0.574877650040365	0.906	0.851	0	"0"	"GLTSCR2"
"EEF2"	0	0.571609218472999	0.822	0.751	0	"0"	"EEF2"
"CD3D"	0	0.553959303923095	0.7	0.48	0	"0"	"CD3D"
"RPL3"	0	0.552171297079296	1	0.997	0	"0"	"RPL3"
"EEF1D"	0	0.526758499430248	0.979	0.964	0	"0"	"EEF1D"
"RPL5"	0	0.490294657989825	0.995	0.968	0	"0"	"RPL5"
