disease_type	disease_id	cell_type	celltype_species	cell_ID	cell_def	marker	marker_type	database_specificity	EC_score	species	gene_description	database
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	ADGRE5	positive	1.00	1	Human	adhesion G protein-coupled receptor E5 	de Boer, B. et al. Prospective isolation and characterization of genetically and functionally distinct AML subclones. Cancer Cell 34, 674–689.e8 (2018).
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	ADGRG1	positive	0.25	4	Human	adhesion G protein-coupled receptor G1 	Daga S., Rosenberger A., Quehenberger F., Krisper N., Prietl B., Reinisch A., Zebisch A., Sill H., Wolfler A. High GPR56 surface expression correlates with a leukemic stem cell gene signature in CD34-positive AML. Cancer Med. 2019;8:1771–1778. doi: 10.1002/cam4.2053.; Pabst C., Bergeron A., Lavallée V.P., Yeh J., Gendron P., Norddahl G.L., Krosl J., Boivin I., Deneault E., Simard J., et al. GPR56 identifies primary human acute myeloid leukemia cells with high repopulating potential in vivo. Blood. 2016;127:2018–2027. doi: 10.1182/blood-2015-11-683649.; Huang K.Y., Lin H.H. The activation and signaling mechanisms of GPR56/ADGRG1 in melanoma cell. Front. Oncol. 2018;8:304. doi: 10.3389/fonc.2018.00304.; Solaimani Kartalaei P., Yamada-Inagawa T., Vink C.S., de Pater E., van der Linden R., Marks-Bluth J., van der Sloot A., van den Hout M., Yokomizo T., van Schaick-Solerno M.L., et al. Whole-transcriptome analysis of endothelial to hematopoietic stem cell transition reveals a requirement for Gpr56 in HSC generation. J. Exp. Med. 2015;212:93–106. doi: 10.1084/jem.20140767.
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	BMI1	positive	1.00	1	Human	BMI1 proto-oncogene, polycomb ring finger 	CellMarker
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	BST1	negative	1.00	1	Human	bone marrow stromal cell antigen 1 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	BST2	positive	1.00	1	Human	bone marrow stromal cell antigen 2 	ThermoFisher
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	BACH2	positive	0.50	2	Human	BTB domain and CNC homolog 2 	Herviou, L., Kassambara, A., Boireau, S. et al. PRC2 targeting is a therapeutic strategy for EZ score defined high-risk multiple myeloma patients and overcome resistance to IMiDs. Clin Epigenet10, 121 (2018). https://doi.org/10.1186/s13148-018-0554-4; Muto A, Ochiai K, Kimura Y, Itoh-Nakadai A, Calame KL, Ikebe D, Tashiro S, Igarashi K. Bach2 represses plasma cell gene regulatory network in B cells to promote antibody class switch. EMBO J. 2010 Dec 1;29(23):4048-61. doi: 10.1038/emboj.2010.257. Epub 2010 Oct 15. PMID: 20953163; PMCID: PMC3020649.
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CCL1	positive	1.00	1	Human	C-C motif chemokine ligand 1 	CellMarker
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CLEC12A	positive	0.08	1	Human	C-type lectin domain family 12 member A 	CellMarker
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CLEC12A	positive	0.08	3	Human	C-type lectin domain family 12 member A 	Sadovnik, I. et al. Expression of CD25 on leukemic stem cells in BCR-ABL1+ CML: potential diagnostic value and functional implications. Exp. Hematol.51, 17–24 (2017).; van Rhenen, A. et al. The novel AML stem cell-associated antigen CLL-1 aids in discrimination between normal and leukemic stem cells. Blood110, 2659–2666 (2007).; Ito K, Ito K. Leukemia Stem Cells as a Potential Target to Achieve Therapy-Free Remission in Chronic Myeloid Leukemia. Cancers (Basel). 2021 Nov 20;13(22):5822. doi: 10.3390/cancers13225822. PMID: 34830976; PMCID: PMC8616035.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CLEC12A	positive	0.08	8	Human	C-type lectin domain family 12 member A 	Marshall A.S.J., Willment J.A., Pyz E., Dennehy K.M., Reid D.M., Dri P., Gordon S., Wong S.Y.C., Brown G.D. Human MICL (CLEC12A) is differentially glycosylated and is down-regulated following cellular activation. Eur. J. Immunol. 2006;36:2159–2169. doi: 10.1002/eji.200535628.; van Rhenen, A. et al. The novel AML stem cell-associated antigen CLL-1 aids in discrimination between normal and leukemic stem cells. Blood110, 2659–2666 (2007).; Zeijlemaker W, Kelder A, Oussoren-Brockhoff YJM, Scholten WJ, Snel AN, Veldhuizen D, et al. A simple one-tube assay for immunophenotypical quantification of leukemic stem cells in acute myeloid leukemia. Leukemia. 2016;30:439–46.; Bakker, A.B.; van den Oudenrijn, S.; Bakker, A.Q.; Feller, N.; van Meijer, M.; Bia, J.A.; Jongeneelen, M.A.; Visser, T.J.; Bijl, N.; Geuijen, C.A.; et al. C-type lectin-like molecule-1: A novel myeloid cell surface marker associated with acute myeloid leukemia. Cancer Res. 2004, 64, 8443–8450.; Jiang, Y.P.; Liu, B.Y.; Zheng, Q.; Panuganti, S.; Chen, R.; Zhu, J.; Mishra, M.; Huang, J.; Dao-Pick, T.; Roy, S.; et al. CLT030, a leukemic stem cell-targeting CLL1 antibody-drug conjugate for treatment of acute myeloid leukemia. Blood Adv. 2018, 2, 1738–1749; Sadovnik, I. et al. Expression of CD25 on leukemic stem cells in BCR-ABL1+ CML: potential diagnostic value and functional implications. Exp. Hematol.51, 17–24 (2017).; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Daga, S.; Rosenberger, A.; Quehenberger, F.; Krisper, N.; Prietl, B.; Reinisch, A.; Zebisch, A.; Sill, H.; Wolfler, A High GPR56 surface expression correlates with a leukemic stem cell gene signature in CD34-positive AML. Cancer Med. 2019, 8, 1771–1778.
